apellido,n_citas,corriente,nombre_canonico
Bernanke,37,new_keynesian,Ben Bernanke
Chiquiar,18,no_clasificado,Chiquiar
Christiano,15,new_keynesian,Lawrence Christiano
Blanchard,14,new_keynesian,Olivier Blanchard
Calvo,14,new_keynesian,Guillermo Calvo
Capistrán,13,no_clasificado,Capistrán
Taylor,12,new_keynesian,John Taylor
Engle,12,econometria,Robert Engle
Gertler,12,new_keynesian,Mark Gertler
Bai,12,no_clasificado,Bai
Ball,12,no_clasificado,Ball
Hamilton,12,econometria,James Hamilton
Bollerslev,12,no_clasificado,Bollerslev
Stock,11,econometria,James Stock
Klenow,10,no_clasificado,Klenow
Benavides,10,no_clasificado,Benavides
Cavallo,10,no_clasificado,Cavallo
Nakamura,9,no_clasificado,Nakamura
Banco,9,no_clasificado,Banco
Kim,9,no_clasificado,Kim
Kilian,7,no_clasificado,Kilian
Sims,7,econometria,Christopher Sims
Diebold,7,econometria,Francis Diebold
Coibion,7,no_clasificado,Coibion
Frankel,7,no_clasificado,Frankel
Hansen,7,no_clasificado,Hansen
Phillips,6,no_clasificado,Phillips
Galí,6,new_keynesian,Jordi Galí
Svensson,6,new_keynesian,Lars Svensson
Chari,6,no_clasificado,Chari
Lucas,6,nueva_clasica,Robert Lucas
Noriega,6,no_clasificado,Noriega
Adrian,6,no_clasificado,Adrian
Canova,6,no_clasificado,Canova
Gagnon,6,no_clasificado,Gagnon
Brooks,6,no_clasificado,Brooks
Auer,6,no_clasificado,Auer
Carlstrom,5,no_clasificado,Carlstrom
Clarida,5,new_keynesian,Richard Clarida
Baumeister,5,no_clasificado,Baumeister
Angelini,5,no_clasificado,Angelini
Hsieh,5,no_clasificado,Hsieh
Eichenbaum,5,new_keynesian,Martin Eichenbaum
Carrillo,5,no_clasificado,Carrillo
Friedman,5,monetarista,Milton Friedman
Andrews,5,no_clasificado,Andrews
Alcaraz,5,no_clasificado,Alcaraz
Pesaran,5,no_clasificado,Pesaran
André,5,no_clasificado,André
Arellano,5,no_clasificado,Arellano
Ramsey,5,no_clasificado,Ramsey
Bils,4,no_clasificado,Bils
Sidaoui,4,no_clasificado,Sidaoui
Eichengreen,4,no_clasificado,Eichengreen
Carroll,4,no_clasificado,Carroll
Acharya,4,no_clasificado,Acharya
Clark,4,no_clasificado,Clark
Gilchrist,4,no_clasificado,Gilchrist
Smets,4,new_keynesian,Frank Smets
Ibarra,4,no_clasificado,Ibarra
Campos,4,no_clasificado,Campos
Barnichon,4,no_clasificado,Barnichon
Cecchetti,4,no_clasificado,Cecchetti
Aoki,4,no_clasificado,Aoki
Woodford,4,new_keynesian,Michael Woodford
Jorion,4,no_clasificado,Jorion
Granger,4,econometria,Clive Granger
Alvarez,4,no_clasificado,Alvarez
Mendoza,4,no_clasificado,Mendoza
Cogley,4,no_clasificado,Cogley
Boivin,4,no_clasificado,Boivin
Bloom,4,no_clasificado,Bloom
Gopinath,4,no_clasificado,Gopinath
Goodhart,3,no_clasificado,Goodhart
Breeden,3,no_clasificado,Breeden
Erceg,3,no_clasificado,Erceg
Berger,3,no_clasificado,Berger
Ireland,3,new_keynesian,Peter Ireland
Blinder,3,no_clasificado,Blinder
Lubik,3,no_clasificado,Lubik
Gollin,3,no_clasificado,Gollin
Magud,3,no_clasificado,Magud
Wooldridge,3,no_clasificado,Wooldridge
Faust,3,no_clasificado,Faust
Bauer,3,no_clasificado,Bauer
Kryvtsov,3,no_clasificado,Kryvtsov
Bosch,3,no_clasificado,Bosch
Krusell,3,no_clasificado,Krusell
Jensen,3,no_clasificado,Jensen
Abarca,3,no_clasificado,Abarca
Broto,3,no_clasificado,Broto
Hubert,3,no_clasificado,Hubert
Giot,3,no_clasificado,Giot
Kochen,3,no_clasificado,Kochen
Aucremanne,3,no_clasificado,Aucremanne
Dowd,3,no_clasificado,Dowd
Park,3,no_clasificado,Park
Brownstone,3,no_clasificado,Brownstone
Cushman,3,no_clasificado,Cushman
Popov,3,no_clasificado,Popov
Chen,3,no_clasificado,Chen
Cukierman,3,no_clasificado,Cukierman
Perron,3,no_clasificado,Perron
Cagan,3,no_clasificado,Cagan
Hossain,3,no_clasificado,Hossain
Hodrick,3,econometria,Robert Hodrick
Laubach,3,no_clasificado,Laubach
Johansen,3,econometria,Søren Johansen
Fountas,3,no_clasificado,Fountas
Kehoe,3,no_clasificado,Kehoe
Harding,3,no_clasificado,Harding
Levy,3,no_clasificado,Levy
Borio,3,no_clasificado,Borio
Newey,3,no_clasificado,Newey
Nelson,3,no_clasificado,Nelson
Angeletos,3,no_clasificado,Angeletos
Reinhart,3,no_clasificado,Reinhart
Mandelbrot,3,no_clasificado,Mandelbrot
Mankiw,3,new_keynesian,N. Gregory Mankiw
Barnett,3,no_clasificado,Barnett
Lee,3,no_clasificado,Lee
Kaminsky,3,no_clasificado,Kaminsky
Allen,3,no_clasificado,Allen
