autor_id,nombre,n_papers,grado,grado_ponderado,centralidad_grado,centralidad_entre,en_gcc
814,Ramos Francia Manuel,31,17,49,0.0381,0.112536,True
621,Chiquiar Daniel,21,21,40,0.0471,0.248048,True
603,Capistrán Carlos,16,11,21,0.0247,0.058662,True
691,Guerrero Víctor M.,13,3,6,0.0067,0.015355,True
914,Werner Wainfeld Alejandro,13,10,14,0.0224,0.0,False
845,Alejandrina Salcedo,12,20,28,0.0448,0.266615,True
669,García-Verdú Santiago,12,5,14,0.0112,0.008459,True
711,Miriam Juárez-Torres,12,13,21,0.0291,0.074765,True
906,Vera y Ferrer Gabriel,12,18,48,0.0404,0.053044,True
635,Cuadra Gabriel,12,11,20,0.0247,0.07849,True
775,Noriega Antonio E.,11,6,15,0.0135,0.022958,True
702,Marco A. Hernandez Vega,11,4,6,0.009,0.007692,True
703,Raúl Ibarra,11,11,14,0.0247,0.066058,True
798,Jorge Pérez Pérez,11,20,20,0.0448,0.126344,True
891,Torres García Alberto,11,9,11,0.0202,0.201645,True
817,Erick Rangel,11,12,19,0.0269,0.076251,True
704,Ize Alain,10,3,3,0.0067,0.015325,True
889,Leonardo Torre,10,11,20,0.0247,0.093947,True
651,Rocío Elizondo,10,7,13,0.0157,0.015431,True
781,Ortiz Martínez Guillermo,9,2,5,0.0045,0.007692,True
848,Sámano Daniel,9,12,14,0.0269,0.214418,True
631,Cortés Espada Josué Fernando,9,8,11,0.0179,0.159502,True
690,Guerrero-Escobar Santiago,8,8,13,0.0179,0.048568,True
722,Leal-Ordoñez Julio C.,8,5,5,0.0112,0.022988,True
664,Garcés Díaz Daniel,8,3,3,0.0067,0.0,False
729,Irving Llamosas-Rosas,8,6,14,0.0135,0.000119,True
836,Roldán-Peña Jessica,8,13,17,0.0291,0.095557,True
888,Tobal Martín,8,4,7,0.009,4.6e-05,True
557,Carlo Alcaraz,8,14,19,0.0314,0.209299,True
609,Julio A. Carrillo,8,11,14,0.0247,0.062082,True
685,González Méndez Héctor E.,7,0,0,0.0,0.0,False
614,Cebreros Alfonso,7,11,14,0.0247,0.020556,True
583,Benavides Guillermo,7,3,4,0.0067,0.001193,True
797,Pérez López Elguézabal Alejandro,6,1,1,0.0022,0.0,True
787,Padilla Alberto,6,0,0,0.0,0.0,False
696,Hernández-del-Valle Gerardo,6,5,8,0.0112,0.013074,True
633,Covarrubias Enrique,6,3,3,0.0067,0.02482,True
918,Ysusi Carla,6,0,0,0.0,0.0,False
613,Castellanos Pascacio Sara Gabriela,6,8,8,0.0179,0.111197,True
751,Martínez Trigueros Lorenza,6,3,4,0.0067,0.0,False
731,López-Martín Bernabé,6,6,6,0.0135,0.089011,True
733,López Noria Gabriela,6,2,2,0.0045,0.0,False
658,Felipe J. Fonseca,5,5,9,0.0112,8.6e-05,True
872,Solís Leopoldo,5,2,5,0.0045,0.015325,True
869,Sidaoui José Julián,5,6,7,0.0135,0.207822,True
697,Hernández Juan R.,5,5,5,0.0112,0.035148,True
713,Kaiser Karen,5,3,3,0.0067,0.0,False
812,Ramírez Claudia,5,11,12,0.0247,0.081479,True
818,Rangel José Gonzalo,5,4,6,0.009,0.010179,True
820,Reyes Heroles Jesús,5,14,40,0.0314,0.161895,True
864,Schwartz Rosenthal Moisés,5,4,4,0.009,0.074755,True
745,Martínez André,5,5,6,0.0112,0.038046,True
619,Chávez Juan Carlos,5,5,7,0.0112,0.007737,True
927,Díaz de León Carrillo Alejandro,5,6,6,0.0135,0.074755,True
648,Díez-Canedo Juan,5,13,40,0.0291,0.0,True
833,Rodríguez-Pérez Cid Alonso,5,8,11,0.0179,0.083698,True
552,Aguilar-Argaez Ana María,5,10,14,0.0224,0.073134,True
582,Bazdresch Santiago,5,3,5,0.0067,0.0,False
561,Jorge Alvarado,5,8,13,0.0179,0.046441,True
558,Alexandrova-Kabadjova Biliana,4,6,7,0.0135,0.030502,True
867,Seira Enrique,4,7,7,0.0157,0.038105,True
579,Bátiz-Zuk Enrique,4,4,5,0.009,0.0,False
874,Diego Solórzano,4,2,2,0.0045,0.007692,True
780,María José Orraca,4,7,9,0.0157,0.121331,True
899,Vargas Aguayo Alberto,4,3,3,0.0067,0.0,True
593,Bush Georgia,4,3,3,0.0067,0.0,False
847,Salgado Banda Héctor,4,4,5,0.009,0.0,False
749,Martínez-Ovando Juan Carlos,4,4,5,0.009,0.022958,True
846,Salgado Alfredo,4,1,1,0.0022,0.0,False
807,Puggioni Daniela,4,8,9,0.0179,0.011082,True
827,Rizzo Sócrates,4,14,40,0.0314,0.022899,True
776,Nuguer Victoria,4,6,6,0.0135,0.031457,True
808,Puigvert Jonathan,4,5,8,0.0112,0.008578,True
710,Juárez González Laura,4,5,5,0.0112,0.0,False
860,Horacio Sapriza,4,6,8,0.0135,0.0,True
949,Lenin Arango-Castillo,4,5,7,0.0112,0.01537,True
