clave_paper,autor_id,orden,presentacion
2025-16,817,1,Erick Rangel
2025-16,1252,2,Marco A. Esteban Aguirre
2025-16,729,3,Irving Llamosas-Rosas
2025-15,1246,1,Agustina Colonna
2025-15,941,2,Lorenzo Aldeco Leo
2025-14,941,1,Lorenzo Aldeco Leo
2025-14,967,2,Horacio Reyes Rocha
2025-13,949,1,Lenin Arango-Castillo
2025-13,780,2,María José Orraca
2025-13,1283,3,Regina Briseño
2025-12,1270,1,Alberto Montagnoli
2025-12,811,2,Miroslava Quiroga-Trevino
2025-12,1269,3,Christoph Thoenissen
2025-11,711,1,Miriam Juárez-Torres
2025-11,1176,2,Jesús Arellano-González
2025-11,627,3,Benjamín Contreras-Astiazarán
2025-10,1256,1,Anna D. Mata
2025-10,1172,2,Héctor M. Núñez
2025-09,1247,1,David Bernal
2025-09,1248,2,Gustavo A. García
2025-09,798,3,Jorge Pérez Pérez
2025-08,702,1,Marco A. Hernandez Vega
2025-08,1234,2,Eduardo Martínez González
2025-07,651,1,Rocío Elizondo
2025-07,609,2,Julio A. Carrillo
2025-06,1237,1,Mauricio Stern
2025-05,1172,1,Héctor M. Núñez
2025-05,1150,2,Adán L. Martínez-Cruz
2025-05,1151,3,Jaime Sainz-Santamaría
2025-04,1241,1,Armando R. Colina
2025-04,1239,2,Bulat Gafarov
2025-04,1240,3,Jens Hilscher
2025-03,1152,1,Darwin Cortés
2025-03,1153,2,Andrés Gallegos-Vargas
2025-03,798,3,Jorge Pérez Pérez
2025-02,1176,1,Jesús Arellano-González
2025-02,711,2,Miriam Juárez-Torres
2025-01,1172,1,Héctor M. Núñez
2024-20,612,1,José L. Casco
2024-20,653,2,León Fernández Bujanda
2024-20,1158,3,Laura Kurczyn
2024-19,684,1,Eva González
2024-19,1207,2,Cindy Rangel
2024-19,889,3,Leonardo Torre
2024-19,845,4,Alejandrina Salcedo
2024-19,561,5,Jorge Alvarado
2024-18,1161,1,Diego Mayorga
2024-18,1162,2,Karla Neri Hernández
2024-18,798,3,Jorge Pérez Pérez
2024-17,941,1,Lorenzo Aldeco Leo
2024-17,845,2,Alejandrina Salcedo
2024-16,955,1,Alex Rivadeneira
2024-16,557,2,Carlo Alcaraz
