clave_paper,tema
2025-16,Microeconomía: Competitividad
2025-16,Economía Laboral
2025-15,Economía Laboral
2025-15,Econometría y Estadística
2025-14,Macroeconomía: Inflación
2025-14,Economía Laboral
2025-13,Finanzas
2025-12,Economía Internacional
2025-12,Economía pública
2025-12,Finanzas
2025-11,Econometría y Estadística
2025-11,Otros
2025-10,Microeconomía: Competitividad
2025-10,Otros
2025-09,Economía Laboral
2025-09,Econometría y Estadística
2025-08,Otros
2025-07,Macroeconomía: Inflación
2025-07,Econometría y Estadística
2025-07,Otros
2025-06,Economía Internacional
2025-05,Otros
2025-04,Microeconomía: Competencia
2025-04,Econometría y Estadística
2025-03,Economía Laboral
2025-03,Economía pública
2025-02,Econometría y Estadística
2025-02,Otros
2025-02,Macroeconomía: Crecimiento y Desarrollo
2025-01,Otros
2025-01,Macroeconomía: Inflación
2024-20,Economía Laboral
2024-20,Econometría y Estadística
2024-19,Macroeconomía: Crecimiento y Desarrollo
2024-19,Economía Internacional
2024-19,Economía pública
2024-18,Microeconomía: Competitividad
2024-18,Otros
2024-17,Macroeconomía: Crecimiento y Desarrollo
2024-17,Economía Laboral
2024-16,Macroeconomía: Crecimiento y Desarrollo
2024-16,Finanzas
2024-15,Macroeconomía: Economía Monetaria
2024-14,Macroeconomía: Economía Monetaria
2024-14,Economía Internacional
2024-14,Econometría y Estadística
2024-13,Econometría y Estadística
2024-12,Macroeconomía: Economía Monetaria
2024-12,Macroeconomía: Inflación
2024-11,Econometría y Estadística
2024-10,Macroeconomía: Inflación
2024-09,Econometría y Estadística
2024-08,Economía Laboral
2024-08,Economía pública
2024-08,Otros
2024-07,Macroeconomía: Crecimiento y Desarrollo
2024-07,Otros
2024-06,Economía Laboral
2024-05,Macroeconomía: Crecimiento y Desarrollo
2024-05,Economía Laboral
2024-04,Econometría y Estadística
2024-04,Otros
2024-03,Econometría y Estadística
2024-03,Otros
2024-02,Microeconomía: Competencia
2024-02,Economía pública
2024-01,Macroeconomía: Crecimiento y Desarrollo
2024-01,Economía Laboral
2024-01,Otros
2023-21,Macroeconomía: Inflación
2023-21,Econometría y Estadística
2023-21,Otros
2023-20,Microeconomía: Competencia
2023-20,Finanzas
2023-20,Economía pública
2023-19,Otros
2023-18,Econometría y Estadística
2023-18,Macroeconomía: Inflación
2023-17,Economía Laboral
2023-16,Econometría y Estadística
2023-16,Otros
2023-15,Finanzas
2023-15,Econometría y Estadística
2023-14,Macroeconomía: Economía Monetaria
2023-14,Macroeconomía: Inflación
2023-13,Macroeconomía: Economía Monetaria
2023-13,Finanzas
2023-13,Econometría y Estadística
2023-12,Macroeconomía: Crecimiento y Desarrollo
2023-12,Economía pública
2023-12,Econometría y Estadística
2023-12,Otros
2023-11,Macroeconomía: Crecimiento y Desarrollo
2023-11,Econometría y Estadística
2023-10,Macroeconomía: Crecimiento y Desarrollo
2023-10,Macroeconomía: Inflación
2023-10,Economía Laboral
2023-09,Macroeconomía: Inflación
2023-08,Macroeconomía: Crecimiento y Desarrollo
2023-07,Finanzas
2023-07,Econometría y Estadística
2023-07,Otros
2023-06,Macroeconomía: Crecimiento y Desarrollo
2023-05,Econometría y Estadística
2023-05,Otros
2023-04,Macroeconomía: Economía Monetaria
2023-04,Otros
2023-03,Macroeconomía: Economía Monetaria
2023-03,Finanzas
2023-03,Econometría y Estadística
2023-02,Econometría y Estadística
2023-02,Otros
2023-01,Otros
2022-20,Macroeconomía: Economía Monetaria
2022-20,Economía Internacional
2022-19,Economía Laboral
2022-18,Econometría y Estadística
2022-18,Otros
2022-17,Macroeconomía: Economía Monetaria
2022-17,Macroeconomía: Inflación
2022-17,Economía Internacional
2022-16,Macroeconomía: Crecimiento y Desarrollo
2022-16,Otros
2022-15,Macroeconomía: Inflación
2022-15,Economía Internacional
2022-15,Econometría y Estadística
2022-14,Economía Laboral
2022-13,Macroeconomía: Inflación
2022-13,Economía Laboral
2022-13,Economía pública
2022-12,Macroeconomía: Crecimiento y Desarrollo
2022-12,Finanzas
2022-11,Macroeconomía: Crecimiento y Desarrollo
2022-11,Economía Laboral
2022-10,Microeconomía: Competencia
2022-10,Otros
2022-09,Microeconomía: Competencia
2022-09,Economía pública
2022-08,Macroeconomía: Inflación
2022-08,Econometría y Estadística
2022-07,Econometría y Estadística
2022-06,Econometría y Estadística
2022-06,Otros
2022-05,Microeconomía: Competencia
2022-05,Economía pública
2022-04,Economía Laboral
2022-04,Economía pública
2022-03,Economía pública
2022-03,Otros
2022-02,Economía Internacional
2022-02,Economía pública
2022-02,Otros
2022-01,Economía pública
2021-26,Microeconomía: Competencia
2021-26,Finanzas
2021-26,Econometría y Estadística
2021-25,Economía Internacional
2021-24,Econometría y Estadística
2021-24,Otros
2021-23,Macroeconomía: Economía Monetaria
2021-23,Economía Internacional
2021-23,Econometría y Estadística
2021-22,Economía Internacional
2021-22,Economía Laboral
2021-22,Econometría y Estadística
2021-21,Economía Internacional
2021-21,Economía Laboral
2021-20,Macroeconomía: Economía Monetaria
2021-20,Econometría y Estadística
2021-19,Economía Laboral
2021-18,Macroeconomía: Crecimiento y Desarrollo
2021-18,Econometría y Estadística
2021-18,Otros
2021-17,Macroeconomía: Economía Monetaria
2021-17,Economía Internacional
2021-17,Econometría y Estadística
2021-16,Macroeconomía: Economía Monetaria
2021-15,Economía Laboral
2021-14,Finanzas
2021-14,Econometría y Estadística
2021-13,Economía Internacional
2021-13,Finanzas
2021-12,Macroeconomía: Crecimiento y Desarrollo
2021-12,Economía Laboral
2021-11,Economía Internacional
2021-11,Econometría y Estadística
2021-10,Economía Internacional
2021-09,Economía Laboral
2021-08,Finanzas
2021-08,Otros
2021-07,Macroeconomía: Economía Monetaria
2021-07,Finanzas
2021-07,Econometría y Estadística
2021-06,Microeconomía: Competencia
2021-06,Econometría y Estadística
2021-05,Finanzas
2021-05,Econometría y Estadística
2021-04,Finanzas
2021-04,Econometría y Estadística
2021-03,Finanzas
2021-02,Otros
2021-01,Macroeconomía: Economía Monetaria
2021-01,Macroeconomía: Inflación
2020-20,Macroeconomía: Inflación
2020-19,Economía Laboral
2020-18,Macroeconomía: Economía Monetaria
2020-18,Finanzas
2020-18,Econometría y Estadística
2020-17,Macroeconomía: Crecimiento y Desarrollo
2020-17,Microeconomía: Competitividad
2020-17,Econometría y Estadística
2020-17,Otros
2020-16,Macroeconomía: Economía Monetaria
2020-16,Macroeconomía: Inflación
2020-16,Econometría y Estadística
2020-15,Economía pública
2020-15,Otros
2020-14,Economía Internacional
2020-13,Macroeconomía: Crecimiento y Desarrollo
2020-13,Otros
2020-12,Macroeconomía: Economía Monetaria
2020-12,Macroeconomía: Inflación
2020-11,Finanzas
2020-11,Otros
2020-10,Finanzas
2020-10,Econometría y Estadística
2020-09,Economía Laboral
2020-08,Economía Internacional
2020-07,Macroeconomía: Crecimiento y Desarrollo
2020-07,Economía Internacional
2020-07,Economía Laboral
2020-07,Otros
2020-06,Macroeconomía: Crecimiento y Desarrollo
2020-06,Microeconomía: Competitividad
2020-06,Economía Internacional
2020-05,Economía Laboral
2020-05,Economía pública
2020-04,Economía Laboral
2020-03,Otros
2020-02,Macroeconomía: Economía Monetaria
2020-02,Economía Internacional
2020-02,Econometría y Estadística
2020-01,Finanzas
2020-01,Econometría y Estadística
2019-21,Otros
2019-20,Otros
2019-19,Macroeconomía: Inflación
2019-18,Macroeconomía: Economía Monetaria
2019-18,Macroeconomía: Inflación
2019-17,Macroeconomía: Inflación
2019-16,Macroeconomía: Economía Monetaria
2019-16,Macroeconomía: Inflación
2019-16,Econometría y Estadística
2019-15,Macroeconomía: Crecimiento y Desarrollo
2019-15,Economía Internacional
2019-15,Economía Laboral
2019-14,Microeconomía: Competencia
2019-13,Economía Laboral
2019-13,Economía pública
2019-12,Finanzas
2019-12,Econometría y Estadística
2019-12,Otros
2019-11,Economía Internacional
2019-11,Otros
2019-10,Macroeconomía: Inflación
2019-10,Economía Internacional
2019-09,Macroeconomía: Economía Monetaria
2019-08,Economía pública
2019-08,Finanzas
2019-07,Macroeconomía: Crecimiento y Desarrollo
2019-06,Macroeconomía: Crecimiento y Desarrollo
2019-06,Microeconomía: Competitividad
2019-06,Economía Internacional
2019-05,Economía Internacional
2019-04,Economía Laboral
2019-03,Macroeconomía: Economía Monetaria
2019-03,Microeconomía: Competencia
2019-03,Econometría y Estadística
2019-02,Economía Internacional
2019-01,Economía Internacional
2019-01,Finanzas
2018-27,Macroeconomía: Economía Monetaria
2018-27,Economía Internacional
2018-27,Finanzas
2018-26,Macroeconomía: Crecimiento y Desarrollo
2018-25,Microeconomía: Competitividad
2018-25,Economía Laboral
2018-24,Macroeconomía: Crecimiento y Desarrollo
2018-24,Microeconomía: Competitividad
2018-24,Economía Internacional
2018-23,Otros
2018-22,Macroeconomía: Economía Monetaria
2018-22,Econometría y Estadística
2018-21,Macroeconomía: Economía Monetaria
2018-21,Macroeconomía: Inflación
2018-20,Macroeconomía: Inflación
2018-19,Economía Internacional
2018-19,Economía Laboral
2018-18,Macroeconomía: Economía Monetaria
2018-18,Macroeconomía: Inflación
2018-17,Econometría y Estadística
2018-17,Otros
2018-16,Macroeconomía: Economía Monetaria
2018-16,Finanzas
2018-16,Econometría y Estadística
2018-15,Economía Internacional
