id,clave,anio,decada,titulo_esp,titulo_ing,resumen_esp,resumen_ing,status,historico,publicar,idiomas,tema,num_autores,url_pdf_ing,url_resumen_esp,fecha_publicacion,fecha_creacion,fecha_modificacion,tiene_pdf_ing,tiene_resumen_esp
1566,2025-16,2025,2020,Efectos iniciales de la relocalización productiva en el mercado laboral manufacturero en México,Early effects of nearshoring in the manufacturing labor market in Mexico,"Aplicamos el método de control sintético para analizar los efectos iniciales de la relocalización en el mercado laboral del sector manufacturero mexicano de julio de 2020 a junio de 2023. Nuestra metodología compara empleos, ingresos y productividad entre las ramas industriales con mayor probabilidad de verse afectados por la relocalización, las cuales son identificadas mediante un índice de propensión, con un contrafactual construido a partir de ramas con menor probabilidad de verse afectadas. Nuestros resultados indican que la relocalización generó ganancias iniciales en empleos manufactureros, pero no conllevó mejoras en los ingresos. Además, no encontramos resultados concluyentes sobre la productividad, aunque algunas especificaciones sugieren un efecto positivo moderado en industrias con mayor propensión a la relocalización. Si bien los efectos completos podrían tardar en materializarse, nuestros hallazgos resaltan sus implicaciones iniciales para el sector manufacturero de México.","We apply the synthetic control method to analyze the initial effects of nearshoring on labor outcomes in Mexico's manufacturing sector from July 2020 to June 2023. Our methodology compares jobs, earnings, and productivity among industry groups more likely to be affected by nearshoring, as identified through a propensity index, with a counterfactual constructed from less likely affected industries. Our results indicate that nearshoring is potentially generating early gains in manufacturing jobs but has not led to improvements in earnings. Furthermore, we do not observe a consistent impact on productivity, although some specifications suggest a modest positive effect in industries with a higher nearshoring propensity. While nearshoring effects may take longer to materialize, our findings highlight its initial implications for the Mexican manufacturing sector.",Publicado,False,True,Inglés,Microeconomía: Competitividad,3,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{A548F0F0-32CF-C65F-F828-40DD71A26C7F}.pdf,https://www.banxico.org.mx/publicaciones-y-prensa/documentos-de-investigacion-del-banco-de-mexico/resumenes-ejecutivos/{986A7286-CEDB-8F74-3B40-1CA961A5EFDB}.pdf,2025-10-09T14:16:32.52,2025-10-09T10:39:20.04,2025-10-09T14:15:53.493,True,True
1565,2025-15,2025,2020,"Subcontratación, Regulación Laboral, y Reparto de Utilidades: Evidencia de México","Outsourcing, Labor Regulations and Profit-Sharing: Evidence from Mexico","Este artículo estudia el uso de la subcontratación para evitar el pago de ciertas prestaciones laborales y sus consecuencias para empresas y trabajadores. Con información longitudinal de empresas y datos empleador-empleado de México, se sugiere que muchas empresas subcontrataban a prácticamente toda su plantilla para evitar el reparto de utilidades (PTU). Un modelo muestra que surgen incentivos a evitar el PTU si las empresas enfrentan una curva de oferta laboral menos elástica al PTU que al salario. Se utiliza una reforma que restringió la subcontratación para evaluar las predicciones del modelo. Tras la reforma, los establecimientos que subcontrataban reincorporaron a sus trabajadores e iniciaron el cumplimiento del PTU, sin evidencia de efectos sobre el empleo total. Las empresas compensaron parcialmente el aumento en el PTU mediante menor crecimiento salarial, pero la remuneración total por trabajador aumentó, como predice el modelo. Información de encuestas sugiere que la inelasticidad al PTU se debe en parte a fricciones de información entre los trabajadores, lo que implica que estos se beneficiaron con la reforma.","This paper studies the use of domestic outsourcing to circumvent labor benefits and its consequences for firms and workers. Drawing on longitudinal establishment data and employer-employee data from Mexico, we provide evidence that many firms were outsourcing their entire workforce to avoid mandatory profit-sharing. A model shows that the incentive for this practice arises when firms face a labor supply curve that is less elastic to profit-sharing than to wages. We then leverage a reform that restricted outsourcing to assess the model predictions. The reform caused previously-outsourcing establishments to insource their workers and comply with profit-sharing, with no evidence of an effect on total employment. Treated plants partially offset the profit-sharing increase through lower wage growth, yet total worker compensation increased, consistent with our model. Self-collected survey evidence suggests that inelasticity to profit-sharing is partly explained by information frictions among workers, implying that they benefited from the reform.",Publicado,False,True,Inglés,Economía Laboral,2,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{A551AF0E-CE4A-B0D3-D9CD-C2197A36509E}.pdf,https://www.banxico.org.mx/publicaciones-y-prensa/documentos-de-investigacion-del-banco-de-mexico/resumenes-ejecutivos/{924C216A-BAC7-36D8-DD93-918F598DD81F}.pdf,2025-10-07T18:20:52.787,2025-10-07T18:10:57.847,2025-10-07T18:20:10.74,True,True
1564,2025-14,2025,2020,Estimación de la curva de Phillips en México con datos a nivel ciudad,An estimation of the Phillips curve in Mexico using city-level data,"En este trabajo se estima la pendiente de la curva de Phillips en México entre 2005 y 2020 utilizando datos a nivel ciudad. Para superar la endogeneidad del desempleo y la inflación subyacente se usa una estrategia de variables instrumentales con datos panel. Los efectos fijos de tiempo capturan variables agregadas de oferta, demanda y expectativas, mientras que la posible endogeneidad entre el desempleo y la inflación subyacente a nivel ciudad-trimestre se atiende utilizando como instrumento choques de demanda laboral local. Los resultados muestran una curva de Phillips estadísticamente significativa que vincula el desempleo con la inflación subyacente a nivel local, aunque esta relación es relativamente débil: un aumento de 1 punto porcentual en el desempleo a nivel ciudad reduce la inflación subyacente anual en aproximadamente 0.18 puntos porcentuales. Se analizan características a nivel ciudad que pueden influir sobre la pendiente de la curva de Phillips, y se encuentra que las tasas de informalidad, las transferencias y algunas características demográficas fortalecen la relación entre el desempleo y la inflación.","We estimate the slope of the Phillips curve in Mexico between 2005 and 2020 using city level data. We overcome the endogeneity of unemployment and core inflation through a panel instrumental variable strategy. Time-period fixed effects account for aggregate supply, demand, and expectation variables, while possible endogeneity between unemployment and core inflation at the city-quarter level is addressed with local labor demand shock instruments. We find a statistically significant Phillips curve linking local unemployment to local core inflation in Mexico, but this relationship is relatively weak: an increase of 1 percentage point in city-level unemployment lowers year-on-year core inflation by approximately 0.18 percentage points. We analyze city-level characteristics that relate to steeper Phillips curves, and find that informality rates, cash transfers, and some demographic characteristics in cities strengthen the relationship between unemployment and inflation.",Publicado,False,True,Inglés,Macroeconomía: Inflación,2,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{11BCE906-D341-F01C-B04E-D02847C77ACF}.pdf,https://www.banxico.org.mx/publicaciones-y-prensa/documentos-de-investigacion-del-banco-de-mexico/resumenes-ejecutivos/{FA4737F9-3A44-0DBA-E306-E7B6B67E2D73}.pdf,2025-09-17T17:44:49.74,2025-09-17T17:36:35.493,2025-09-17T17:44:29.56,True,True
1563,2025-13,2025,2020,Volatilidad de la inflación en economías avanzadas y emergentes durante la pandemia de COVID-19,Inflation volatility across advanced and emerging economies during the COVID-19 pandemic,"Utilizando una muestra de economías avanzadas y emergentes, se estudia la volatilidad de tres medidas de inflación de enero 2001 a marzo 2023 usando variantes del modelo GARCH que incorporan el signo, magnitud y persistencia de los choques. Los resultados indican que el aumento en la inflación durante la pandemia de COVID-19 ocurrió con un incremento simultáneo en la volatilidad de la inflación que se observó en varias economías. Un alza en la inflación acompañada de un aumento en su volatilidad no es la norma en el periodo estudiado. Evidencia descriptiva indica que una correlación fuerte y positiva entre la inflación y su volatilidad en las economías se observó a comienzos la Crisis Financiera Global y durante la pandemia, cuando existieron presiones inflacionarias globales y elevados precios de las materias primas, en tanto que en otros periodos de la muestra esta no existe o es débil.","Using a sample of advanced and emerging economies, this paper studies the volatility of three inflation measures from January 2001 to March 2023, employing variants of the GARCH model that account for the sign, magnitude, and persistence of shocks. The results show that the inflation surge during the COVID-19 pandemic coincided with increased volatility in several countries. However, this is not the norm in the studied period. Descriptive evidence indicates that a strong positive correlation between inflation and its volatility within countries was observed at the beginning of the Global Financial Crisis and during the pandemic, two periods characterized by global inflationary pressures and high commodity prices, whereas in other periods, this correlation is nonexistent or weak.",Publicado,False,True,Inglés,Finanzas,3,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{A878E916-1E6B-D82B-D52D-784A84C1FBBA}.pdf,https://www.banxico.org.mx/publicaciones-y-prensa/documentos-de-investigacion-del-banco-de-mexico/resumenes-ejecutivos/{9D9A6A2D-C5C3-274B-CB55-DE6F4A5B4F21}.pdf,2025-09-17T17:41:33.973,2025-09-17T17:36:03.6,2025-09-17T17:41:12.77,True,True
562,2025-12,2025,2020,El canal de hoja de balance de la política fiscal: exposición soberana y crédito a empresas en la periferia europea,The Balance Sheet Channel of Fiscal Policy: Sovereign Exposure and Credit to Firms in the European Periphery,"Este estudio presenta evidencia empírica sobre el canal de la hoja de balance de la política fiscal en las economías periféricas europeas. Nuestros resultados, basados en un Panel VAR, muestran que tras una expansión fiscal financiada con deuda, los cambios en las hojas de balance de las instituciones financieras reducen la provisión de crédito a empresas y la inversión en estos países. Además, el análisis indica que las economías con mayor exposición soberana enfrentaron caídas más pronunciadas en el crédito y la inversión. Para explorar el mecanismo, estimamos un modelo DSGE que incorpora a los bancos como principales tenedores de deuda soberana. El modelo muestra que la exposición soberana amplifica los efectos negativos sobre la oferta de crédito e inversión. Un escenario contrafactual sin deuda soberana en los balances bancarios permite aislar la contribución del canal de hoja de balance: su ausencia debilita el efecto desplazamiento, con una caída de la inversión 0.2 p.p. menor y un aumento del producto 0.02 p.p. mayor. Además, el canal muestra efectos más pronunciados durante las crisis financiera y de deuda soberana europea.","This paper provides empirical evidence on the balance sheet channel of fiscal policy in peripheral European economies. Our findings using a Panel VAR, reveal that shifts in financial institutions' balance sheets following a debt-financed fiscal expansion, reduce credit provision and investment in these countries. Moreover, the analysis indicates that economies with higher sovereign exposure experienced higher credit crunches and investment declines. To explore the underlying mechanisms, we estimate a DSGE model that incorporates banks as primary holders of sovereign debt. The model shows that sovereign exposure amplifies the negative effects on credit supply, lowering investment and capital formation. A counterfactual scenario without bank-held sovereign bonds isolates the contribution of the balance sheet channel: removing this channel weakens the crowding-out effect, with investment falling 0.2 percentage points less and output increasing by 0.02 percentage points more. These effects appear stronger during the financial and sovereign debt crises.",Publicado,False,True,Inglés,Economía Internacional,3,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{3AC95C66-A9B4-FB32-B590-07637FC2E803}.pdf,https://www.banxico.org.mx/publicaciones-y-prensa/documentos-de-investigacion-del-banco-de-mexico/resumenes-ejecutivos/{1A1B4FE4-D4B4-82B9-C681-62A22DC94F1C}.pdf,2025-09-12T18:45:04.547,2025-09-12T15:32:45.57,2025-09-12T18:44:39.597,True,True
561,2025-11,2025,2020,El efecto de los brotes de influenza aviar en el precio del huevo: evidencia del mercado mexicano.,The effect of avian influenza outbreaks on table-egg prices: evidence from the Mexican market,"Este trabajo investiga el efecto de los brotes de influenza aviar altamente patógena (IAAP) en los precios del huevo en México. El análisis se basa en datos en panel mensuales del índice de precios del huevo a nivel de ciudad vinculados con registros de brotes de IAAP ocurridos en municipios productores. Nuestros hallazgos sugieren que la exposición a un brote promedio de IAAP aumenta inmediatamente el precio del huevo en 1.5% en relación con el precio que se observaría en un escenario sin IAAP. La exposición a brotes de IAAP también tiene efectos rezagados. El mayor aumento (4.8%) se observa dos meses después del brote. Posteriormente, el efecto disminuye y desaparece en el séptimo mes. Nuestros resultados también sugieren que el impacto de los brotes de IAAP en el precio del huevo ha disminuido con el tiempo debido principalmente a una menor frecuencia e intensidad de los brotes de IAAP, posiblemente asociada con una mayor eficiencia de los protocolos de prevención, vigilancia, control y erradicación de brotes de IAAP.","This paper investigates the effect of Highly Pathogenic Avian Influenza (HPAI) outbreaks on table-egg prices in Mexico. The analysis relies on monthly panel data of the price index of table eggs at the city level linked to records of HPAI outbreaks occurred in producing municipalities. Our findings suggest that exposure to an average HPAI outbreak immediately increases the price of table eggs by 1.5% relative to the price that would be observed in a scenario without HPAI. Exposure to HPAI outbreaks also has lagged effects. The highest increase (4.8%) is observed two months after the outbreak. Afterwards, the effect decreases and vanishes by the seventh month. Our results also suggest that the impact of HPAI outbreaks on the price of table eggs has decreased over time mainly due to a lower frequency and intensity of HPAI outbreaks possibly associated with an increased efficiency of the protocols of prevention, surveillance, control and eradication of HPAI outbreaks.",Publicado,False,True,Inglés,Econometría y Estadística,3,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{A377DC5E-9434-4735-1AF7-6727B063EEA6}.pdf,https://www.banxico.org.mx/publicaciones-y-prensa/documentos-de-investigacion-del-banco-de-mexico/resumenes-ejecutivos/{EC951800-0E24-A4EE-E265-81ADC66128D1}.pdf,2025-07-28T18:03:09.503,2025-07-28T17:54:59.557,2025-07-28T18:02:16.38,True,True
560,2025-10,2025,2020,Eficiencia Energética y Mitigación de Emisiones de Gases de Efecto Invernadero en el Sector Manufacturero de México,Energy Efficiency and Mitigation of Greenhouse Gas Emissions in Mexico's Manufacturing Sector,"Este estudio examina la eficiencia energética y el desempeño ambiental del sector manufacturero de México en sus regiones. Empleamos un modelo de Análisis Envolvente de Datos que optimiza la razón ponderada entre producción e insumos para cada unidad de toma de decisiones. Específicamente, se utiliza un modelo de función de distancia direccional no radial para capturar tanto los productos deseables como los no deseables, representados por las emisiones de gases de efecto invernadero. Los resultados muestran que incluir los productos no deseables reduce la eficiencia económica estimada. Durante el período de análisis, la frontera de producción cambió solo modestamente. Regionalmente, los estados del norte tienen mejor desempeño, mientras que los del sur quedan rezagados, revelando un potencial considerable ahorro nacional en energía y emisiones.","This study examines the energy efficiency and environmental performance of Mexico's manufacturing sector across regions. We employ a Data Envelopment Analysis model that optimizes the weighted output-input ratio for each decision-making unit. Specifically, a non-radial directional distance function model is used to account for both desirable outputs and undesirable outputs, represented by greenhouse gas emissions. The findings show that including undesirable outputs reduces the estimated economic efficiency. Over the analysis period, the production frontier shifted only modestly. Regionally, northern states perform best, while southern states lag behind, revealing considerable potential for national energy and emission savings.",Publicado,False,True,Inglés,Microeconomía: Competitividad,2,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{F465355C-5D73-9479-AAA2-9E30BC6BDA9E}.pdf,https://www.banxico.org.mx/publicaciones-y-prensa/documentos-de-investigacion-del-banco-de-mexico/resumenes-ejecutivos/{4A524CDA-B983-5577-748F-FBECC44C5DF8}.pdf,2025-06-30T16:34:35.68,2025-06-30T16:19:00.653,2025-06-30T16:34:12.613,True,True
559,2025-09,2025,2020,"Entendiendo la desconexión espacial entre los lugares de trabajo y residencia: evidencia de Medellín, Colombia","Better or worse job accessibility? Understanding changes in spatial mismatch: evidence from Medellín, Colombia","Proponemos una metodología para calcular la desconexión entre lugares de residencia y de trabajo que incorpora costos de transporte monetarios y de oportunidad, y a la vez corrige la posible sobreestimación de la accesibilidad a trabajos. Esta metodología posibilita el análisis de cambios espacio-temporales en el desajuste espacial sin necesidad de descartar datos de unidades espaciales que cambian en el tiempo. Aplicamos la metodología a la medición del desajuste espacial en Medellín, Colombia, para transporte privado y público de 2012 a 2017. De manera consistente con trabajos previos, los resultados indican que la inclusión de costos de transporte y de oportunidad produce una medida más realista de la disponibilidad de trabajos. A pesar de la inversión en transporte público e infraestructura, el desajuste espacial en Medellín aumentó entre 2012 y 2017. Nuestro análisis muestra que la accesibilidad a empleos mediante transporte privado disminuyó más que mediante transporte público, y que la expansión de este último en Medellín pudo haber mitigado el desajuste espacial.","We propose a methodology to calculate the mismatch between places of work and places of residence that incorporates monetary and opportunity transportation costs while correcting for possible overestimation of job accessibility. This methodology enables the analysis of spatiotemporal changes in spatial mismatch without discarding data from spatial units that change over time. We apply the methodology to measure spatial mismatch in Medellín, Colombia, for public and private transportation from 2012 to 2017. In line with previous work, our results indicate that including transportation and opportunity costs leads to a more realistic measure of job availability. Despite investments in public transportation and infrastructure, spatial mismatch in Medellín increased between 2012 and 2017. Our analysis shows that job accesibility through private transport decreased more than through public transport, and that the expansion of the latter in Medellín may have mitigated spatial mismatch.",Publicado,False,True,Inglés,Economía Laboral,3,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{4A1C4582-7C9D-F473-E002-1C90B1BCF0A0}.pdf,https://www.banxico.org.mx/publicaciones-y-prensa/documentos-de-investigacion-del-banco-de-mexico/resumenes-ejecutivos/{B2DED336-03D1-3E29-00C2-84A7FFF27FFE}.pdf,2025-06-30T16:17:48.403,2025-06-30T15:23:06.727,2025-06-30T16:17:09.417,True,True
558,2025-08,2025,2020,¿Influyen las políticas climáticas nacionales en la decisión de las empresas de comprometerse con metas de reducción de emisiones de GEI?,Do climate policies incentivize firms to commit to setting a GHG emissions target?,"Desde el Acuerdo de París de 2016, los países y las empresas se han visto cada vez más presionados para adoptar medidas de respuesta adecuadas al cambio climático. Sin embargo, no está claro qué factores impulsan a las empresas a emprender acciones ante el cambio climático. Utilizando un modelo probit de efectos aleatorios correlacionados, este artículo contribuye a la literatura al analizar la influencia de los avances en políticas climáticas, medias por el Climate Change Performance Index, en el compromiso de las empresas a establecer un objetivo de emisiones de gases de efecto invernadero (GEI). Se encuentra que dichos avances están asociados con una mayor probabilidad de que las empresas se comprometan, en particular las empresas del sector no financiero y, entre ellas, las que no pertenecen a los sectores considerados como mayores productores de GEI. Por último, la disponibilidad de financiación para proyectos verdes, medida indirectamente por la emisión de bonos verdes por país, también contribuye a que las empresas se comprometan.","Since the 2016 Paris Agreement, countries and companies have been increasingly pressured to adopt appropriate response measures to climate change. However, it is not clear what factors drive firms to undertake climate change actions. Using a correlated random effects panel probit model, this paper contributes to the literature by analyzing the influence of advances in climate policies, as measured by the Climate Change Performance Index, on firms committing to set a greenhouse gas (GHG) emissions target. We find that advances in national climate policies are associated with a higher probability of firms committing, particularly for firms in the non-financial sectors and, among them, for those that do not belong to sectors considered as the largest producers of greenhouse gas (GHG) emissions. Lastly, the availability of funding for green projects, indirectly measured by the issuance of green bonds per country, also positively contributes to the probability of firms committing.",Publicado,False,True,Inglés,Otros,2,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{D407856F-8878-AB56-E04D-C37674C14979}.pdf,https://www.banxico.org.mx/publicaciones-y-prensa/documentos-de-investigacion-del-banco-de-mexico/resumenes-ejecutivos/{CDB53B54-871D-61E7-BF43-27B2B631F1F5}.pdf,2025-06-18T13:32:41.12,2025-06-18T12:48:19.217,2025-06-18T13:32:16.12,True,True
557,2025-07,2025,2020,Comparación de las Expectativas de Inflación de Encuestas y de Mercado en Diferentes Horizontes,Comparison of Inflation Expectations from Surveys and Markets Across Different Horizons,"Este documento compara las expectativas de inflación de encuestas y de mercado en diferentes horizontes para México, entre el 2000 y el 2024. El análisis evalúa estadísticas descriptivas, sesgo, eficiencia, discrepancia, nivel de convergencia y respuesta a las sorpresas inflacionarias. Los resultados sugieren que las expectativas son sesgadas, con excepción de las de mercado de corto plazo. Estas son ineficientes, porque acarrean errores de pronóstico pasados y parecen no incluir toda la información disponible al momento de su formación. La discrepancia entre ellas está negativamente relacionada con la tasa de interés de corto plazo para todos los horizontes analizados, y positivamente con la inflación, su cambio cuadrático y la volatilidad del tipo de cambio para algunos horizontes. Las expectativas de corto y mediano plazo sí responden a sorpresas inflacionarias, pero las de largo plazo no. Finalmente, su nivel de convergencia es más estable y con niveles más bajos, si se combina la información proveniente de ambos tipos de expectativas.","This paper compares inflation expectations from surveys and markets across different horizons for Mexico, between 2000 and 2024. The analysis evalues descriptive statistics, bias, efficiency, discrepancy, convergence level, and response to inflation surprises. The results suggest that both expectations are generally biased, with exception of short-term market expectations. The two types of expectations are inefficient as they include past forecast errors and do not seem to incorporate all available information. The discrepancy between the two types of expectations is negatively related to the short-term interest rate across all horizons and positively related to inflation, its quadratic change, and exchange rate volatility for some horizons. Short- and medium-term expectations respond to inflation surprises, while long-term expectations do not. Finally, their estimated convergence level is more stable and with lower levels when information from both types of expectations is combined.",Publicado,False,True,Español,Macroeconomía: Inflación,2,,https://www.banxico.org.mx/publicaciones-y-prensa/documentos-de-investigacion-del-banco-de-mexico/resumenes-ejecutivos/{A945D7C9-4867-6AA5-29E3-FD5C42B6FF6B}.pdf,2025-05-29T10:19:38.857,2025-05-29T10:03:14.31,2025-05-29T10:19:19.013,False,True
