clave,anio,periodo,n_ort,n_het,terms_ort,terms_het
2025-16,2025,reciente,0,0,[],[]
2025-15,2025,reciente,0,0,[],[]
2025-14,2025,reciente,1,0,['phillips curve'],[]
2025-13,2025,reciente,0,0,[],[]
2025-12,2025,reciente,1,0,['dsge'],[]
2025-11,2025,reciente,0,0,[],[]
2025-10,2025,reciente,0,0,[],[]
2025-09,2025,reciente,0,0,[],[]
2025-08,2025,reciente,0,0,[],[]
2025-07,2025,reciente,1,0,['inflation expectations'],[]
2025-06,2025,reciente,0,0,[],[]
2025-05,2025,reciente,0,0,[],[]
2025-04,2025,reciente,0,0,[],[]
2025-03,2025,reciente,0,0,[],[]
2025-02,2025,reciente,0,0,[],[]
2025-01,2025,reciente,0,0,[],[]
2024-20,2024,reciente,0,0,[],[]
2024-19,2024,reciente,0,0,[],[]
2024-18,2024,reciente,0,0,[],[]
2024-17,2024,reciente,0,1,[],['distribution']
2024-16,2024,reciente,0,0,[],[]
2024-15,2024,reciente,0,0,[],[]
2024-14,2024,reciente,0,0,[],[]
2024-13,2024,reciente,0,0,[],[]
2024-12,2024,reciente,3,0,"['inflation expectations', 'new keynesian', 'phillips curve']",[]
2024-11,2024,reciente,0,0,[],[]
2024-10,2024,reciente,0,0,[],[]
2024-09,2024,reciente,0,0,[],[]
2024-08,2024,reciente,0,0,[],[]
2024-07,2024,reciente,0,0,[],[]
2024-06,2024,reciente,0,0,[],[]
2024-05,2024,reciente,1,1,['general equilibrium'],['distribution']
2024-04,2024,reciente,0,0,[],[]
2024-03,2024,reciente,0,0,[],[]
2024-02,2024,reciente,0,0,[],[]
2024-01,2024,reciente,0,0,[],[]
2023-21,2023,reciente,1,0,['inflation expectations'],[]
2023-20,2023,reciente,0,0,[],[]
2023-19,2023,reciente,0,0,[],[]
2023-18,2023,reciente,0,0,[],[]
2023-17,2023,reciente,0,2,[],"['power', 'distribution']"
2023-16,2023,reciente,0,0,[],[]
2023-15,2023,reciente,0,0,[],[]
2023-14,2023,reciente,3,0,"['output gap', 'new keynesian', 'optimal monetary policy']",[]
2023-13,2023,reciente,0,0,[],[]
2023-12,2023,reciente,0,1,[],['power']
2023-11,2023,reciente,1,0,['bayesian'],[]
2023-10,2023,reciente,1,0,['bayesian'],[]
2023-09,2023,reciente,0,0,[],[]
2023-08,2023,reciente,0,1,[],['distribution']
2023-07,2023,reciente,0,0,[],[]
2023-06,2023,reciente,0,0,[],[]
2023-05,2023,reciente,0,0,[],[]
2023-04,2023,reciente,0,1,[],['distribution']
2023-03,2023,reciente,0,0,[],[]
2023-02,2023,reciente,0,0,[],[]
2023-01,2023,reciente,0,0,[],[]
2022-20,2022,reciente,0,0,[],[]
2022-19,2022,reciente,0,0,[],[]
2022-18,2022,reciente,0,0,[],[]
2022-17,2022,reciente,2,0,"['inflation expectations', 'optimal monetary policy']",[]
2022-16,2022,reciente,1,0,['general equilibrium'],[]
2022-15,2022,reciente,1,0,['output gap'],[]
2022-14,2022,reciente,0,1,[],['distribution']
2022-13,2022,reciente,0,0,[],[]
2022-12,2022,reciente,0,0,[],[]
2022-11,2022,reciente,0,0,[],[]
2022-10,2022,reciente,0,0,[],[]
2022-09,2022,reciente,0,0,[],[]
2022-08,2022,reciente,0,0,[],[]
2022-07,2022,reciente,0,0,[],[]
2022-06,2022,reciente,0,1,[],['distribution']
2022-05,2022,reciente,0,0,[],[]
2022-04,2022,reciente,0,0,[],[]
2022-03,2022,reciente,0,1,[],['distribution']
2022-02,2022,reciente,0,0,[],[]
2022-01,2022,reciente,0,0,[],[]
2021-26,2021,reciente,0,0,[],[]
2021-25,2021,reciente,1,0,['dsge'],[]
2021-24,2021,reciente,0,0,[],[]
2021-23,2021,reciente,0,0,[],[]
2021-22,2021,reciente,0,0,[],[]
2021-21,2021,reciente,0,0,[],[]
2021-20,2021,reciente,0,0,[],[]
2021-19,2021,reciente,0,0,[],[]
2021-18,2021,reciente,0,0,[],[]
2021-17,2021,reciente,0,0,[],[]
2021-16,2021,reciente,2,0,"['forward guidance', 'new keynesian']",[]
2021-15,2021,reciente,0,0,[],[]
2021-14,2021,reciente,0,0,[],[]
2021-13,2021,reciente,0,0,[],[]
2021-12,2021,reciente,0,1,[],['power']
2021-11,2021,reciente,0,0,[],[]
2021-10,2021,reciente,0,0,[],[]
2021-09,2021,reciente,0,0,[],[]
2021-08,2021,reciente,0,0,[],[]
2021-07,2021,reciente,0,1,[],['power']
2021-06,2021,reciente,0,1,[],['power']
2021-05,2021,reciente,0,0,[],[]
2021-04,2021,reciente,0,0,[],[]
2021-03,2021,reciente,0,0,[],[]
2021-02,2021,reciente,0,0,[],[]
2021-01,2021,reciente,1,0,['dsge'],[]
2020-20,2020,reciente,3,0,"['microfoundations', 'new keynesian', 'nominal rigidities']",[]
2020-19,2020,reciente,0,0,[],[]
2020-18,2020,reciente,0,0,[],[]
2020-17,2020,reciente,0,0,[],[]
2020-16,2020,reciente,1,0,['inflation targeting'],[]
2020-15,2020,reciente,0,0,[],[]
2020-14,2020,reciente,0,0,[],[]
2020-13,2020,reciente,0,0,[],[]
2020-12,2020,reciente,3,0,"['output gap', 'rational expectations', 'new keynesian']",[]
2020-11,2020,reciente,0,0,[],[]
2020-10,2020,reciente,0,0,[],[]
2020-09,2020,reciente,1,0,['nairu'],[]
2020-08,2020,reciente,0,0,[],[]
2020-07,2020,reciente,0,0,[],[]
2020-06,2020,reciente,0,0,[],[]
2020-05,2020,reciente,0,0,[],[]
2020-04,2020,reciente,0,1,[],['distribution']
2020-03,2020,reciente,0,0,[],[]
2020-02,2020,reciente,0,0,[],[]
2020-01,2020,reciente,0,1,[],['power']
2019-21,2019,reciente,0,1,[],['power']
2019-20,2019,reciente,0,0,[],[]
2019-19,2019,reciente,0,0,[],[]
2019-18,2019,reciente,1,0,['central bank independence'],[]
2019-17,2019,reciente,0,0,[],[]
2019-16,2019,reciente,0,0,[],[]
2019-15,2019,reciente,0,0,[],[]
2019-14,2019,reciente,0,0,[],[]
2019-13,2019,reciente,0,0,[],[]
2019-12,2019,reciente,0,0,[],[]
2019-11,2019,reciente,0,0,[],[]
2019-10,2019,reciente,0,0,[],[]
2019-09,2019,reciente,1,0,['general equilibrium'],[]
2019-08,2019,reciente,1,0,['general equilibrium'],[]
2019-07,2019,reciente,0,1,[],['distribution']
2019-06,2019,reciente,0,0,[],[]
2019-05,2019,reciente,0,1,[],['distribution']
2019-04,2019,reciente,0,0,[],[]
2019-03,2019,reciente,1,0,['bayesian'],[]
2019-02,2019,reciente,0,1,[],['distribution']
2019-01,2019,reciente,0,0,[],[]
2018-27,2018,reciente,0,0,[],[]
2018-26,2018,reciente,0,0,[],[]
2018-25,2018,reciente,0,0,[],[]
2018-24,2018,reciente,0,0,[],[]
2018-23,2018,reciente,0,0,[],[]
2018-22,2018,reciente,0,0,[],[]
2018-21,2018,reciente,1,0,['inflation expectations'],[]
2018-20,2018,reciente,0,0,[],[]
2018-19,2018,reciente,0,0,[],[]
2018-18,2018,reciente,2,0,"['inflation expectations', 'central bank independence']",[]
2018-17,2018,reciente,0,0,[],[]
2018-16,2018,reciente,0,0,[],[]
2018-15,2018,reciente,1,0,['dynamic stochastic'],[]
2018-14,2018,reciente,0,0,[],[]
2018-13,2018,reciente,0,0,[],[]
2018-12,2018,reciente,0,0,[],[]
2018-11,2018,reciente,0,0,[],[]
2018-10,2018,reciente,0,0,[],[]
2018-09,2018,reciente,0,0,[],[]
2018-08,2018,reciente,0,0,[],[]
2018-07,2018,reciente,0,1,[],['distribution']
2018-06,2018,reciente,0,0,[],[]
2018-05,2018,reciente,0,0,[],[]
2018-04,2018,reciente,0,0,[],[]
2018-03,2018,reciente,0,0,[],[]
2018-02,2018,reciente,0,1,[],['distribution']
2018-01,2018,reciente,0,1,[],['distribution']
2017-22,2017,reciente,1,0,['inflation targeting'],[]
2017-21,2017,reciente,0,0,[],[]
2017-20,2017,reciente,1,0,['inflation targeting'],[]
2017-19,2017,reciente,0,0,[],[]
2017-18,2017,reciente,1,0,['impulse response'],[]
2017-17,2017,reciente,0,0,[],[]
2017-16,2017,reciente,0,0,[],[]
2017-15,2017,reciente,0,0,[],[]
2017-14,2017,reciente,0,0,[],[]
2017-13,2017,reciente,0,0,[],[]
2017-12,2017,reciente,0,0,[],[]
2017-11,2017,reciente,0,1,[],['power']
2017-10,2017,reciente,1,0,['new keynesian'],[]
2017-09,2017,reciente,0,0,[],[]
2017-08,2017,reciente,0,0,[],[]
2017-07,2017,reciente,0,0,[],[]
2017-06,2017,reciente,2,0,"['dsge', 'bayesian']",[]
2017-05,2017,reciente,0,0,[],[]
2017-04,2017,reciente,1,0,['dynamic stochastic'],[]
2017-03,2017,reciente,0,1,[],['distribution']
2017-02,2017,reciente,0,0,[],[]
2017-01,2017,reciente,0,0,[],[]
