clave,anio,url,archivo,status,bytes,error
2025-14,2025,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{11BCE906-D341-F01C-B04E-D02847C77ACF}.pdf,2025-14.pdf,ok,1519006,
2025-13,2025,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{A878E916-1E6B-D82B-D52D-784A84C1FBBA}.pdf,2025-13.pdf,ok,3102631,
2025-12,2025,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{3AC95C66-A9B4-FB32-B590-07637FC2E803}.pdf,2025-12.pdf,ok,10089783,
2025-06,2025,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{7BC3B0A3-A43C-24D1-4DBF-BFB262EF5F68}.pdf,2025-06.pdf,ok,5303110,
2025-01,2025,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{863B72D9-D555-FE7B-088C-38EA5C5E2AC2}.pdf,2025-01.pdf,ok,1370754,
2024-16,2024,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{DFA9FE50-8521-0964-9F46-E8C67EEDE6C7}.pdf,2024-16.pdf,ok,1544146,
2024-15,2024,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{F293B69B-16AF-54EC-81AA-B5AFF78013A2}.pdf,2024-15.pdf,ok,1901762,
2024-14,2024,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{18C4774B-EC5E-6F7B-2E2B-47C546261C3B}.pdf,2024-14.pdf,ok,644031,
2024-13,2024,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{CE71A986-6144-34C8-76C0-310E2CCDF29A}.pdf,2024-13.pdf,ok,937531,
2024-12,2024,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{AC7271D8-5342-9813-6E4C-92DEDF30B2BC}.pdf,2024-12.pdf,ok,682315,
2024-10,2024,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{31DA81D1-6A12-1EDB-3AFF-8F2461E4A0A7}.pdf,2024-10.pdf,ok,5717460,
2023-21,2023,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{B8AB126E-466C-6506-17E3-F8CBDCEA7830}.pdf,2023-21.pdf,ok,7887723,
2023-18,2023,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{5342553C-BCC6-6082-4609-AFD0FA18E6C7}.pdf,2023-18.pdf,ok,2104835,
2023-16,2023,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{F0F71E84-70B8-2F43-9825-249C2326065F}.pdf,2023-16.pdf,ok,1373937,
2023-14,2023,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{033E4587-A8FB-24D5-CBE2-78EACAA9751B}.pdf,2023-14.pdf,ok,473270,
2023-10,2023,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{B062314B-476D-ED64-D38C-D1802C15EE01}.pdf,2023-10.pdf,ok,2439768,
2023-09,2023,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{FDD55EE8-0CE6-0290-80F1-609D2E7FB87E}.pdf,2023-09.pdf,ok,3100916,
2023-08,2023,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{95BC2EA4-4E45-DC31-5752-9AEFBE0C6147}.pdf,2023-08.pdf,ok,2448548,
2023-04,2023,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{FEEBF6EF-BB0E-A8FE-FB93-34BF750E4EB0}.pdf,2023-04.pdf,ok,1000638,
2023-03,2023,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{8BED375A-B4B2-A80E-5CDE-C59B9B3E96F5}.pdf,2023-03.pdf,ok,916552,
