autor_a,nombre_a,autor_b,nombre_b,peso
814,Ramos Francia Manuel,621,Chiquiar Daniel,8
814,Ramos Francia Manuel,891,Torres García Alberto,3
814,Ramos Francia Manuel,603,Capistrán Carlos,6
814,Ramos Francia Manuel,775,Noriega Antonio E.,5
814,Ramos Francia Manuel,659,Fragoso Edna,1
814,Ramos Francia Manuel,562,Nicolás Amoroso,1
814,Ramos Francia Manuel,810,Quella Núria,1
814,Ramos Francia Manuel,557,Carlo Alcaraz,1
814,Ramos Francia Manuel,631,Cortés Espada Josué Fernando,3
814,Ramos Francia Manuel,626,Constandse Christian,1
814,Ramos Francia Manuel,869,Sidaoui José Julián,1
814,Ramos Francia Manuel,703,Raúl Ibarra,1
814,Ramos Francia Manuel,635,Cuadra Gabriel,4
814,Ramos Francia Manuel,669,García-Verdú Santiago,8
814,Ramos Francia Manuel,552,Aguilar-Argaez Ana María,1
814,Ramos Francia Manuel,833,Rodríguez-Pérez Cid Alonso,2
814,Ramos Francia Manuel,853,Sánchez-Martínez Manuel,2
621,Chiquiar Daniel,775,Noriega Antonio E.,1
621,Chiquiar Daniel,659,Fragoso Edna,1
621,Chiquiar Daniel,562,Nicolás Amoroso,1
621,Chiquiar Daniel,810,Quella Núria,1
621,Chiquiar Daniel,557,Carlo Alcaraz,4
621,Chiquiar Daniel,603,Capistrán Carlos,2
621,Chiquiar Daniel,869,Sidaoui José Julián,1
621,Chiquiar Daniel,845,Alejandrina Salcedo,6
621,Chiquiar Daniel,780,María José Orraca,1
621,Chiquiar Daniel,888,Tobal Martín,3
621,Chiquiar Daniel,917,Yslas Renato,1
621,Chiquiar Daniel,633,Covarrubias Enrique,1
621,Chiquiar Daniel,614,Cebreros Alfonso,2
621,Chiquiar Daniel,828,Roa Mónica,1
621,Chiquiar Daniel,561,Jorge Alvarado,1
621,Chiquiar Daniel,811,Miroslava Quiroga-Trevino,1
621,Chiquiar Daniel,889,Leonardo Torre,1
621,Chiquiar Daniel,697,Hernández Juan R.,1
621,Chiquiar Daniel,703,Raúl Ibarra,1
621,Chiquiar Daniel,695,Heffner-Rodríguez Aldo,1
603,Capistrán Carlos,887,Timmermann Allan,3
603,Capistrán Carlos,732,López Moctezuma Gabriel,2
603,Capistrán Carlos,583,Benavides Guillermo,2
603,Capistrán Carlos,626,Constandse Christian,1
603,Capistrán Carlos,869,Sidaoui José Julián,1
603,Capistrán Carlos,555,Aiolfi Marco,1
603,Capistrán Carlos,703,Raúl Ibarra,1
603,Capistrán Carlos,635,Cuadra Gabriel,1
603,Capistrán Carlos,697,Hernández Juan R.,1
691,Guerrero Víctor M.,906,Vera y Ferrer Gabriel,4
691,Guerrero Víctor M.,835,Rojas Francisco Javier,1
691,Guerrero Víctor M.,570,Arias S. Luis Gerardo,1
914,Werner Wainfeld Alejandro,758,Milo Caraza Alexis,1
914,Werner Wainfeld Alejandro,672,Gelos Gaston,1
