clave_paper,n_referencias,n_clasificadas,pct_clasificado
2025-14,38,31,81.6
2025-13,75,46,61.3
2025-12,57,40,70.2
2025-06,32,29,90.6
2024-16,42,32,76.2
2024-15,28,17,60.7
2024-14,9,7,77.8
2024-13,18,10,55.6
2024-12,78,58,74.4
2024-10,30,22,73.3
2023-21,42,32,76.2
2023-18,14,11,78.6
2023-14,1,1,100.0
2023-10,16,11,68.8
2023-09,28,16,57.1
2023-08,19,15,78.9
2023-04,17,16,94.1
2023-03,7,6,85.7
2022-17,9,7,77.8
2022-15,57,36,63.2
2021-21,2,2,100.0
2021-20,35,28,80.0
2021-16,16,9,56.2
2021-07,9,8,88.9
2021-05,18,13,72.2
2021-01,9,7,77.8
2020-20,1,1,100.0
2020-16,9,6,66.7
2020-12,9,7,77.8
2020-10,49,26,53.1
2020-09,18,14,77.8
2019-16,40,24,60.0
2019-09,10,6,60.0
2019-04,32,21,65.6
2018-22,44,32,72.7
2018-21,0,0,0.0
2018-20,0,0,0.0
2018-19,30,21,70.0
2018-18,1,1,100.0
2018-16,1,1,100.0
2018-13,25,20,80.0
2018-09,30,16,53.3
2017-22,9,8,88.9
2017-21,29,22,75.9
2017-20,10,5,50.0
2017-17,1,1,100.0
2017-16,43,22,51.2
2017-15,50,47,94.0
2017-14,33,21,63.6
2017-10,32,23,71.9
2017-02,2,2,100.0
2016-21,28,19,67.9
2016-20,9,7,77.8
2016-13,16,12,75.0
2016-04,0,0,0.0
2015-18,32,24,75.0
2015-01,8,4,50.0
2014-19,19,13,68.4
2014-11,12,6,50.0
2014-01,9,6,66.7
2013-19,26,21,80.8
2013-12,15,9,60.0
2012-13,37,25,67.6
2012-08,25,18,72.0
2011-17,24,11,45.8
2011-14,9,6,66.7
2010-17,30,26,86.7
2010-12,44,24,54.5
2010-11,9,7,77.8
2010-09,23,18,78.3
2010-08,0,0,0.0
2010-06,48,30,62.5
2010-01,9,8,88.9
2009-14,19,18,94.7
2009-10,7,7,100.0
2009-09,33,11,33.3
2009-05,9,8,88.9
2008-08,6,4,66.7
2008-05,21,14,66.7
2007-15,0,0,0.0
2007-11,9,8,88.9
2007-06,22,17,77.3
2006-15,20,16,80.0
2006-14,9,9,100.0
2006-11,9,8,88.9
2006-08,9,5,55.6
2006-07,9,7,77.8
2006-06,6,5,83.3
2005-01,12,12,100.0
2004-05,65,48,73.8
